,Long,Lat,Sand,Prod
521,3.5738,5.7109,39.69,4.071
522,3.5738,5.7145,14.719,1.55
523,3.5738,5.7104,40.096,3.619
524,3.5738,5.7132,26.813,2.561
525,3.5738,5.7134,15.464,1.869
526,3.5738,5.7112,66.671,6.579
527,3.5738,5.7141,17.566,1.96
528,3.5738,5.7125,23.37,3.185
529,3.5738,5.7188,45.484,4.741
530,3.5738,5.7182,26.314,2.635
531,3.5738,5.715,24.04,2.898
532,3.5738,5.7128,26.704,3.094
533,3.5738,5.711,66.468,7.081
534,3.5738,5.7114,42.874,4.417
535,3.5738,5.717,42.03,3.402
536,3.5738,5.7187,45.087,4.15
537,3.5738,5.7151,34.376,2.976
538,3.5738,5.713,14.848,1.832
539,3.5739,5.7119,42.519,4.195
540,3.5739,5.711,33.208,3.652
541,3.5739,5.7141,16.975,2.233
542,3.5739,5.7132,14.775,1.705
543,3.5739,5.7115,40,4.559
544,3.5739,5.7179,26.961,3.309
545,3.5739,5.7128,14.243,0.774
546,3.5739,5.7108,40.369,3.469
547,3.5739,5.7139,23.603,1.989
548,3.5739,5.7116,43.013,3.105
549,3.5739,5.7152,40.337,4.654
550,3.5739,5.7109,65.676,6.834
551,3.5739,5.7146,14.634,0.873
552,3.5739,5.7129,15.816,1.266
553,3.5739,5.7151,39.724,4.471
554,3.5739,5.7105,65.91,7.386
555,3.5739,5.7178,14.701,2.002
556,3.5739,5.7133,26.702,3.157
557,3.5739,5.7113,33.379,3.519
558,3.5739,5.7104,40.04,3.745
559,3.5739,5.7173,23.326,2.433
560,3.5739,5.7136,15.135,1.936
561,3.5739,5.7102,40.623,4.35
562,3.5739,5.7126,22.771,1.668
563,3.5739,5.712,22.64,2.119
564,3.5739,5.7147,14.696,1.443
565,3.5739,5.7185,44.723,4.259
566,3.5739,5.7177,14.284,1.168
567,3.5739,5.7122,23.228,1.872
568,3.5739,5.7148,15.406,1.887
569,3.5739,5.718,34.345,3.576
570,3.5739,5.7121,14.451,1.023
571,3.5739,5.7183,45.513,4.181
572,3.5739,5.7125,23.713,2.163
573,3.5739,5.7186,40.234,3.417
574,3.574,5.7126,23.835,2.863
575,3.574,5.7116,23.998,2.32
576,3.574,5.7183,44.991,5.074
577,3.574,5.7188,45.86,3.694
578,3.574,5.711,33.726,3.956
579,3.574,5.7114,14.88,2.454
580,3.574,5.718,23.697,2.126
581,3.574,5.7157,39.402,3.933
582,3.574,5.7104,39.48,4.824
583,3.574,5.7109,66.642,6.58
584,3.574,5.7111,33.942,3.94
585,3.574,5.7138,18.191,2.701
586,3.574,5.7122,24.367,2.582
587,3.574,5.7136,15.36,1.458
588,3.574,5.7137,22.782,2.224
589,3.574,5.7181,27.155,2.457
590,3.574,5.7177,15.685,1.212
591,3.574,5.712,23.721,2.076
592,3.574,5.7112,22.066,2.565
593,3.574,5.7134,15.5,1.408
594,3.574,5.7133,22.779,1.758
595,3.574,5.7179,25.653,2.734
596,3.574,5.7154,43.271,4.507
597,3.574,5.715,23.191,2.9
598,3.574,5.7175,33.916,3.897
599,3.5741,5.7176,34.07,3.251
600,3.5741,5.7109,22.02,2.198
601,3.5741,5.7133,23.247,2.593
602,3.5741,5.7155,40.679,3.658
603,3.5741,5.7107,15.302,1.228
604,3.5741,5.7184,45.481,4.936
605,3.5741,5.7156,14.753,1.932
606,3.5741,5.7188,45.124,4.255
607,3.5741,5.7111,33.587,3.28
608,3.5741,5.7147,15.155,1.572
609,3.5741,5.7173,14.961,1.695
610,3.5741,5.7105,23.979,2.468
611,3.5741,5.7158,14.299,1.148
612,3.5741,5.7118,14.268,1.359
613,3.5741,5.7106,15.006,-0.103
614,3.5741,5.7123,23.877,2.832
615,3.5741,5.7104,40.506,2.801
616,3.5741,5.7181,23.865,2.692
617,3.5741,5.7122,15.086,1.468
618,3.5741,5.7148,14.804,1.288
619,3.5741,5.7142,14.639,1.435
620,3.5741,5.7135,17.315,1.338
621,3.5741,5.714,15.688,2.053
622,3.5741,5.7186,34.073,3.621
623,3.5741,5.7174,23.977,2.675
624,3.5741,5.7141,15.028,1.85
625,3.5741,5.7157,23.947,3.096
626,3.5741,5.7121,15.345,1.191
627,3.5741,5.7149,23.661,1.587
628,3.5741,5.7145,40.374,3.63
629,3.5741,5.7119,17.259,1.937
630,3.5741,5.7112,15.016,1.509
631,3.5741,5.7117,15.139,1.025
632,3.5741,5.7152,23,1.365
633,3.5741,5.712,17.389,1.695
634,3.5742,5.714,17.634,0.648
635,3.5742,5.7112,16.593,2.653
636,3.5742,5.7134,17.297,1.026
637,3.5742,5.712,17.097,2.178
638,3.5742,5.7141,16.899,1.867
639,3.5742,5.7181,33.585,4.627
640,3.5742,5.7156,14.946,0.62
641,3.5742,5.7121,14.504,1.312
642,3.5742,5.7142,17.215,1.508
643,3.5742,5.7139,14.963,1.655
644,3.5742,5.7106,23.246,3.411
645,3.5742,5.7178,26.665,2.525
646,3.5742,5.7128,27.242,2.186
647,3.5742,5.7151,23.293,2.522
648,3.5742,5.7114,17.791,1.79
649,3.5742,5.7179,33.694,3.547
650,3.5742,5.7152,23.254,2.485
651,3.5742,5.7175,23.144,2.639
652,3.5742,5.7146,34.926,4.31
653,3.5742,5.7113,14.657,0.734
654,3.5742,5.7143,17.945,1.627
655,3.5742,5.7105,39.238,3.527
656,3.5742,5.7136,24.191,1.846
657,3.5742,5.7137,21.914,2.788
658,3.5742,5.7108,23.413,2.655
659,3.5742,5.7176,23.181,2.055
660,3.5742,5.7182,33.538,3.669
661,3.5742,5.7078,33.863,3.448
662,3.5742,5.711,17.569,1.614
663,3.5742,5.7157,22.93,2.22
664,3.5742,5.7115,15.035,2.189
665,3.5743,5.7139,17.04,1.725
666,3.5743,5.7155,23.153,2.071
667,3.5743,5.7109,14.876,1.373
668,3.5743,5.7176,23.416,2.002
669,3.5743,5.7182,27.252,2.949
670,3.5743,5.7112,15.612,2.119
671,3.5743,5.7137,15.108,1.417
672,3.5743,5.7108,23.758,2.519
673,3.5743,5.7128,26.074,1.935
674,3.5743,5.7138,14.594,1.511
675,3.5743,5.7123,14.458,1.294
676,3.5743,5.7177,23.94,2.932
677,3.5743,5.7114,14.746,0.588
678,3.5743,5.7178,22.956,2.533
679,3.5743,5.7153,23.517,2.455
680,3.5743,5.7116,15.103,1.104
681,3.5744,5.7154,14.975,1.362
682,3.5744,5.7116,14.779,1.054
683,3.5744,5.7136,15.293,1.267
684,3.5744,5.7138,26.692,4.133
685,3.5744,5.7139,17.723,2.289
686,3.5744,5.7104,66.154,7.668
687,3.5744,5.7114,17.252,2.764
688,3.5744,5.7115,14.705,1.8
689,3.5744,5.7177,22.966,2.958
690,3.5744,5.7181,27.172,1.456
691,3.5744,5.7183,77.109,8.513
692,3.5744,5.7109,22.325,1.738
693,3.5744,5.7184,22.925,2.757
694,3.5744,5.7111,14.335,1.048
695,3.5744,5.7077,33.894,2.186
696,3.5744,5.711,20.56,0.754
697,3.5744,5.7108,23.165,2.099
698,3.5744,5.7105,39.933,4.134
699,3.5744,5.7123,14.926,2.731
700,3.5744,5.7081,39.813,3.492
701,3.5744,5.708,76.596,7.917
702,3.5744,5.718,23.19,2.411
